owner_id	unit_name	unit_number	week_number
1	Shorewood	724	15
1	Shorewood	724	16
1	Shorewood	724	17
1	Shorewood	724	18
1	Sunset Drive	185	18
1	Sunset Drive	185	19
1	Sunset Drive	185	20
1	Sunset Drive	185	21
1	Sunset Drive	185	22
1	Sunset Drive	185	23
1	Sunset Drive	185	24
1	Sunset Drive	185	25
1	Sunset Drive	185	26
1	Sunset Drive	185	27
1	Sunset Drive	185	28
1	Sunset Drive	185	29
2	Cedarbrook	9002	4
2	Cedarbrook	9002	5
2	Cedarbrook	9002	6
3	Evergreen	203	44
3	Evergreen	203	45
3	Evergreen	203	46
3	Evergreen	203	47
3	Evergreen	203	48
3	Evergreen	203	49
3	Evergreen	203	50
4	Oak Glen	914	1
4	Shorewood	724	22
4	Shorewood	724	23
4	Shorewood	724	24
4	Shorewood	724	25
5	Nob Hill	4433	5
5	Nob Hill	4433	6
5	Nob Hill	4433	7
5	Nob Hill	4433	8
5	Nob Hill	4433	9
6	Evergreen	205	12
7	Cedarbrook	9002	8
7	Cedarbrook	9002	9
7	Cedarbrook	9002	10
8	Cedarbrook	9002	50
8	Cedarbrook	9002	51
8	Cedarbrook	9002	52
9	Deercreek	3722	20
10	Deercreek	3722	21
11	Evergreen	205	39
12	Cedarbrook	9002	42
12	Cedarbrook	9002	43
12	Cedarbrook	9002	44
13	Sunset Drive	183	14
13	Sunset Drive	183	15
13	Sunset Drive	183	16
13	Sunset Drive	183	17
13	Sunset Drive	183	18
13	Sunset Drive	183	19
13	Evergreen	203	37
13	Evergreen	203	38
13	Evergreen	203	39
13	Evergreen	203	40
13	Evergreen	203	41
13	Evergreen	203	42
13	Evergreen	203	43
14	Sunset Drive	183	20
14	Sunset Drive	183	21
14	Sunset Drive	183	22
14	Sunset Drive	183	23
14	Sunset Drive	183	24
14	Sunset Drive	183	25
15	Oak Glen	914	7
15	Oak Glen	914	8
15	Oak Glen	914	9
15	Shorewood	724	30
15	Shorewood	724	31
16	Nob Hill	4433	3
16	Nob Hill	4433	4
17	Sunset Drive	185	30
17	Sunset Drive	185	31
17	Sunset Drive	185	32
17	Sunset Drive	185	33
17	Sunset Drive	185	34
17	Sunset Drive	185	35
17	Sunset Drive	185	36
17	Sunset Drive	185	37
18	Cedarbrook	9004	35
18	Cedarbrook	9004	36
19	Oak Glen	914	8
20	Marble Canyon	122	22
20	Marble Canyon	122	23
20	Marble Canyon	122	24
21	Evergreen	205	48
22	Cedarbrook	9006	1
22	Cedarbrook	9006	2
23	Marble Canyon	122	17
23	Marble Canyon	122	18
23	Marble Canyon	122	19
24	Nob Hill	4433	1
24	Nob Hill	4433	2
25	Shorewood	726	8
25	Shorewood	726	9
25	Shorewood	726	10
25	Nob Hill	4433	10
25	Nob Hill	4433	11
25	Nob Hill	4433	12
25	Nob Hill	4433	13
25	Nob Hill	4433	14
25	Nob Hill	4433	15
